what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333058581968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333058641449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058653944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058657833
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333058657847
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333058803384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333058824682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058828691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058900664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333058904902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333058923828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058925201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058930078
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333058930100
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333058942130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333058949919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058952943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333058954868
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333058954878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333059034603
